Visit Frequency;Days Since Last Loyalty Program Interaction;Purchase Recency;Average Spend per Visit;Loyalty Points Earned (Last X Days);Loyalty Points Redeemed (Last X Days);Total Loyalty Points Balance;Most Purchased Product Category;Change in Product Category;Time of Visit (Peak/Off-Peak);Preferred Order Method;Change in Order Method;Number of Complaints (Last X Days);Sentiment of Last Review/Feedback;Special Event Engagement;Churn Label
9;2;10;80699;329;63;2563;Coffee;0;Morning;Takeaway;0;0;Negative;1;0
9;5;27;80694;212;22;382;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
8;6;6;80691;382;313;1954;Lunch;0;Morning;Dine-in;0;1;Positive;1;0
8;27;26;80686;312;198;2592;Lunch;1;Evening;Delivery;0;0;Neutral;1;0
3;31;6;80679;487;189;2473;Pastries;0;Morning;Delivery;0;1;Negative;1;1
6;1;5;80676;192;201;294;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
5;0;2;80672;260;208;1179;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
7;1;17;80670;160;214;849;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
11;14;5;80669;210;204;214;Coffee;1;Evening;Dine-in;0;0;Positive;1;0
14;27;4;80663;310;227;48;Pastries;1;Morning;Dine-in;0;0;Neutral;1;0
13;11;50;80663;207;247;286;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
10;7;2;80661;486;485;2045;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
6;4;1;80651;98;388;2821;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
8;24;3;80650;298;347;1716;Coffee;0;Evening;Takeaway;1;0;Positive;1;0
8;80;5;80642;13;52;2850;Coffee;0;Morning;Delivery;0;1;Positive;1;1
4;10;5;80641;364;486;1792;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;1;2;80629;446;74;217;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
8;5;19;80628;389;46;1637;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
6;3;37;80625;132;260;2368;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
9;28;18;80624;244;97;1972;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;16;5;80607;57;63;50;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
3;40;0;80606;391;76;2736;Pastries;0;Morning;Dine-in;0;1;Positive;1;1
8;11;17;80596;351;141;2166;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
8;2;1;80596;72;274;2129;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
12;2;4;80585;242;473;2177;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
14;12;19;80583;287;57;761;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
6;4;17;80579;22;404;2813;Pastries;0;Morning;Dine-in;0;1;Negative;0;0
7;5;11;80560;86;20;1047;Pastries;0;Morning;Takeaway;0;1;Positive;1;0
8;38;5;80559;122;367;2735;Coffee;0;Afternoon;Takeaway;1;1;Positive;1;1
7;32;15;80552;104;313;1454;Pastries;0;Afternoon;Delivery;0;0;Positive;1;0
6;94;1;80541;409;269;159;Coffee;1;Afternoon;Takeaway;0;0;Positive;1;0
10;18;11;80540;23;456;366;Coffee;0;Morning;Delivery;0;0;Positive;1;0
4;53;19;80534;58;78;575;Pastries;0;Morning;Dine-in;0;0;Neutral;1;1
5;31;0;80525;421;308;1413;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
8;7;8;80525;15;19;245;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
5;1;3;80522;220;288;2060;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;14;7;80515;186;208;2168;Coffee;0;Morning;Dine-in;0;3;Positive;1;0
7;22;1;80501;71;173;2918;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
7;12;6;80499;473;409;608;Coffee;0;Morning;Delivery;0;0;Positive;1;0
8;6;18;80499;363;423;2721;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
3;1;9;80490;355;412;833;Coffee;0;Afternoon;Takeaway;0;0;Negative;1;1
9;1;0;80488;26;187;2639;Coffee;1;Evening;Dine-in;0;0;Positive;1;1
11;17;4;80484;36;202;2038;Coffee;1;Afternoon;Dine-in;0;0;Positive;1;1
7;38;2;80464;390;100;301;Coffee;0;Evening;Takeaway;0;3;Positive;1;1
5;3;5;80464;420;339;1580;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
12;17;1;80463;16;354;877;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
7;12;32;80457;127;143;1041;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;1
4;3;5;80453;67;219;2340;Lunch;1;Morning;Dine-in;0;0;Positive;1;0
8;18;1;80452;154;83;1287;Coffee;0;Afternoon;Dine-in;0;3;Positive;1;0
6;1;0;80447;450;416;39;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
11;18;14;80444;102;497;699;Coffee;1;Afternoon;Takeaway;0;0;Neutral;1;0
3;22;65;80433;6;218;733;Pastries;0;Morning;Dine-in;1;0;Positive;1;1
11;5;8;80410;262;171;2849;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
7;0;16;80409;18;242;731;Coffee;1;Afternoon;Dine-in;0;0;Positive;1;0
5;24;7;80409;489;55;2190;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
8;13;2;80405;73;456;2277;Pastries;0;Evening;Dine-in;1;0;Positive;1;0
12;36;0;80402;25;113;1204;Pastries;0;Afternoon;Delivery;0;0;Positive;1;1
9;4;9;80395;204;442;1085;Coffee;0;Afternoon;Dine-in;1;0;Positive;1;0
10;21;6;80391;421;445;2232;Pastries;0;Afternoon;Takeaway;1;0;Positive;1;0
4;29;27;80387;85;116;1140;Coffee;0;Morning;Dine-in;1;0;Positive;1;1
7;5;3;80380;224;111;2848;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
7;28;24;80371;260;179;2443;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
13;12;14;80369;83;73;1263;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
11;8;36;80359;41;447;1947;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
15;4;9;80344;87;289;1035;Coffee;0;Evening;Dine-in;0;0;Negative;1;0
9;3;15;80344;369;423;1641;Coffee;1;Morning;Takeaway;0;0;Positive;1;0
9;1;11;80340;280;271;2951;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
12;11;3;80340;30;274;407;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
11;5;19;80340;189;16;874;Coffee;1;Morning;Delivery;0;0;Positive;1;0
3;3;3;80333;200;116;1356;Coffee;0;Morning;Dine-in;0;0;Neutral;1;1
12;5;4;80331;139;298;578;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
11;4;6;80319;0;70;1169;Pastries;0;Morning;Dine-in;0;0;Positive;0;1
11;2;43;80318;145;8;504;Pastries;0;Morning;Dine-in;1;0;Positive;1;1
10;6;0;80317;486;53;1374;Coffee;1;Afternoon;Takeaway;0;0;Neutral;1;1
7;2;19;80316;404;17;2111;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
5;3;0;80313;208;79;1126;Coffee;1;Morning;Delivery;1;0;Positive;1;0
7;4;2;80310;189;451;876;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
7;10;13;80308;115;301;2785;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
5;13;21;80303;5;150;2479;Coffee;0;Morning;Dine-in;1;0;Positive;1;1
10;11;4;80301;185;47;1439;Coffee;0;Evening;Takeaway;0;0;Positive;0;1
6;25;7;80296;382;89;1909;Coffee;0;Morning;Takeaway;1;0;Positive;0;1
5;5;17;80294;437;91;2414;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
8;2;18;80294;415;161;2088;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
4;15;8;80291;237;97;1949;Coffee;1;Evening;Dine-in;0;0;Positive;1;0
5;1;2;80273;47;262;2406;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
4;5;5;80273;327;374;2569;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
9;17;9;80272;276;80;2670;Pastries;0;Evening;Takeaway;0;0;Positive;1;0
10;34;1;80269;364;343;2835;Lunch;0;Afternoon;Takeaway;0;0;Positive;1;0
7;33;3;80267;351;273;916;Coffee;1;Morning;Dine-in;0;0;Neutral;1;1
7;13;9;80266;255;366;146;Pastries;0;Morning;Dine-in;1;0;Positive;1;0
7;11;20;80264;357;27;1639;Pastries;0;Morning;Dine-in;0;0;Neutral;1;0
5;6;6;80261;274;461;1841;Pastries;0;Evening;Dine-in;0;0;Negative;1;1
8;7;3;80257;347;403;432;Pastries;0;Morning;Takeaway;0;0;Neutral;1;0
11;22;14;80255;137;480;1911;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
8;0;11;80250;188;384;2996;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
12;15;3;80247;436;5;2584;Lunch;0;Morning;Delivery;0;1;Positive;1;0
5;0;9;80245;365;240;2831;Pastries;0;Morning;Takeaway;0;1;Positive;1;0
8;17;10;80241;406;475;1900;Coffee;0;Morning;Takeaway;0;0;Negative;1;0
11;11;10;80240;450;477;542;Lunch;0;Evening;Takeaway;0;0;Positive;1;0
4;28;3;80228;479;481;2079;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
13;12;12;80224;20;185;1934;Coffee;0;Evening;Dine-in;1;0;Positive;1;0
4;6;1;80224;372;461;2795;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;0
5;5;16;80221;223;348;1891;Coffee;0;Morning;Takeaway;0;1;Positive;1;0
7;14;8;80214;163;278;2067;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
9;10;23;80212;64;124;1455;Pastries;0;Evening;Takeaway;0;0;Positive;0;1
15;14;0;80210;343;146;990;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
6;11;18;80204;404;283;1198;Coffee;1;Morning;Delivery;0;1;Positive;1;0
8;15;12;80199;106;96;793;Pastries;0;Evening;Delivery;0;0;Negative;1;0
5;4;1;80193;441;487;2339;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
12;18;9;80191;466;201;488;Coffee;0;Afternoon;Dine-in;1;1;Positive;1;0
4;0;6;80186;210;233;1274;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
11;5;4;80183;343;400;2286;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
8;9;1;80182;288;384;651;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
7;6;3;80182;167;64;1154;Coffee;1;Afternoon;Delivery;0;0;Positive;1;1
5;40;7;80175;299;211;2689;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
4;10;9;80175;173;316;554;Pastries;0;Morning;Dine-in;1;0;Negative;0;1
12;6;23;80173;27;428;2655;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
6;4;0;80167;147;320;609;Coffee;0;Morning;Delivery;0;0;Positive;1;0
11;37;5;80156;387;251;653;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
12;2;8;80154;488;401;723;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
7;2;9;80147;50;366;1251;Lunch;0;Afternoon;Dine-in;0;0;Positive;1;0
12;12;0;80147;98;259;2932;Lunch;0;Morning;Takeaway;0;0;Positive;1;0
9;39;2;80141;331;499;2254;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
11;3;1;80134;96;144;553;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
6;75;1;80133;210;117;1436;Pastries;0;Morning;Delivery;0;0;Neutral;1;1
4;0;10;80127;400;17;770;Coffee;1;Morning;Dine-in;0;0;Positive;0;1
5;1;19;80125;355;382;1447;Coffee;1;Afternoon;Dine-in;0;0;Positive;1;0
6;26;6;80122;192;435;2776;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
15;40;12;80119;130;272;1091;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
9;6;5;80115;20;114;1284;Pastries;0;Evening;Takeaway;0;0;Neutral;1;0
8;11;7;80108;100;259;2474;Coffee;1;Evening;Dine-in;0;0;Positive;1;0
9;2;2;80106;482;214;2012;Coffee;1;Morning;Dine-in;0;0;Positive;1;0
5;12;20;80099;357;98;897;Lunch;0;Afternoon;Dine-in;0;1;Positive;1;0
13;14;2;80080;426;367;1214;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;0;18;80080;365;101;514;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
4;10;4;80079;31;383;2701;Coffee;1;Morning;Takeaway;0;0;Positive;1;0
6;20;0;80074;335;464;114;Coffee;0;Morning;Takeaway;1;0;Negative;0;1
10;6;0;80072;155;295;2128;Coffee;1;Afternoon;Delivery;0;0;Positive;1;0
13;3;12;80068;98;26;1134;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
4;19;5;80066;225;46;494;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
7;18;0;80066;111;99;811;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;8;11;80058;17;352;1339;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
12;10;19;80049;331;91;1911;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
6;34;2;80046;158;445;1427;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
12;4;14;80033;91;46;2603;Coffee;1;Morning;Dine-in;0;2;Positive;1;1
7;18;0;80032;42;204;1618;Pastries;1;Morning;Dine-in;0;0;Neutral;1;0
8;20;11;80030;366;470;194;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;37;16;80018;333;425;1169;Coffee;0;Morning;Delivery;0;2;Positive;1;1
11;15;21;80007;107;239;1435;Lunch;0;Morning;Delivery;0;0;Negative;1;0
6;36;7;79998;461;384;1913;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;36;34;79987;16;435;409;Pastries;0;Morning;Dine-in;0;0;Neutral;1;1
8;66;8;79987;45;485;353;Pastries;0;Evening;Dine-in;0;0;Neutral;1;1
6;10;17;79984;223;325;2945;Pastries;0;Evening;Dine-in;0;1;Positive;1;0
2;6;0;79977;255;40;185;Pastries;1;Morning;Dine-in;1;0;Positive;1;1
7;12;0;79975;482;74;2444;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
6;3;5;79973;339;387;331;Coffee;0;Afternoon;Delivery;0;0;Negative;1;1
3;2;3;79947;223;60;2061;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
7;1;7;79944;290;484;1942;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
14;3;6;79942;211;279;739;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
11;41;4;79942;348;441;991;Pastries;0;Morning;Takeaway;0;0;Positive;1;1
4;6;12;79937;25;2;1500;Coffee;0;Evening;Dine-in;0;0;Positive;1;1
7;26;34;79924;496;48;2389;Pastries;0;Morning;Delivery;0;0;Positive;1;0
9;6;7;79921;489;7;2738;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;20;4;79916;163;404;1685;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
10;69;11;79914;172;223;1878;Coffee;1;Morning;Takeaway;0;0;Neutral;1;1
8;4;10;79913;77;169;2144;Coffee;0;Evening;Takeaway;0;1;Positive;1;0
6;6;6;79905;101;281;165;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
13;0;3;79897;275;498;903;Coffee;0;Evening;Delivery;0;0;Positive;1;0
8;7;26;79888;120;302;2491;Coffee;1;Morning;Delivery;0;0;Positive;1;1
6;0;2;79886;205;306;2681;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;7;8;79881;365;127;1603;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
4;1;2;79869;479;436;1489;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;0;1;79865;214;16;250;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
7;5;23;79860;359;82;438;Coffee;0;Evening;Dine-in;0;2;Positive;1;1
11;9;10;79860;22;429;724;Coffee;0;Morning;Takeaway;0;1;Positive;0;0
9;20;3;79859;426;359;1116;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;9;4;79853;409;166;2550;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
6;0;1;79851;286;11;2108;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;24;12;79844;415;147;365;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;15;10;79843;402;167;2225;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
6;4;14;79830;183;386;1336;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;13;1;79822;23;268;87;Pastries;1;Evening;Takeaway;0;0;Positive;1;0
9;30;8;79820;65;16;1964;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
11;10;0;79820;467;488;2013;Pastries;0;Afternoon;Takeaway;0;0;Neutral;1;0
4;4;2;79820;486;70;1732;Pastries;1;Evening;Dine-in;0;0;Positive;1;0
7;4;16;79816;281;215;2233;Coffee;0;Morning;Takeaway;0;0;Negative;1;1
11;0;0;79795;57;97;2188;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
7;0;8;79791;100;456;1610;Pastries;0;Morning;Delivery;0;0;Positive;1;0
13;21;16;79787;484;124;907;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
6;6;2;79778;11;294;1003;Lunch;0;Morning;Takeaway;0;0;Positive;1;0
7;11;0;79767;54;314;2553;Coffee;0;Morning;Delivery;0;0;Neutral;1;0
4;3;1;79758;100;10;18;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
5;21;8;79755;467;117;2182;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
3;49;59;79750;56;481;2806;Pastries;1;Afternoon;Dine-in;0;0;Positive;1;1
6;75;15;79747;459;237;1508;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;1
13;1;2;79740;301;432;1756;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
7;19;5;79738;207;491;771;Pastries;0;Morning;Takeaway;0;0;Positive;1;0
7;15;2;79736;355;381;2180;Lunch;0;Afternoon;Dine-in;0;0;Positive;1;0
4;3;17;79735;156;261;504;Pastries;0;Morning;Delivery;0;0;Positive;1;1
9;3;33;79734;410;185;2808;Coffee;0;Morning;Dine-in;0;1;Neutral;1;1
11;28;2;79731;484;110;2080;Coffee;0;Morning;Dine-in;1;1;Positive;1;0
4;21;5;79725;156;331;1297;Coffee;0;Morning;Takeaway;0;0;Neutral;1;0
9;3;14;79725;74;467;612;Coffee;1;Evening;Takeaway;0;0;Neutral;1;0
5;2;6;79712;475;49;1347;Coffee;1;Evening;Takeaway;0;0;Positive;0;1
9;7;16;79702;199;213;2764;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
13;10;3;79701;388;372;2488;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
12;2;9;79691;43;166;1497;Coffee;0;Morning;Delivery;0;0;Neutral;1;0
5;35;24;79689;303;424;2988;Coffee;0;Morning;Takeaway;0;0;Positive;1;1
7;10;24;79688;383;394;324;Lunch;1;Evening;Delivery;0;0;Positive;0;1
4;30;33;79687;419;264;1345;Pastries;0;Morning;Dine-in;0;0;Positive;0;1
9;9;19;79675;212;491;861;Lunch;0;Morning;Dine-in;1;0;Positive;1;0
9;13;10;79671;27;492;653;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;11;4;79671;15;275;1856;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
9;4;1;79667;120;168;592;Pastries;1;Morning;Dine-in;0;0;Positive;0;1
9;2;30;79665;45;158;1757;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;1
10;6;10;79665;449;401;1691;Pastries;1;Afternoon;Dine-in;0;0;Negative;1;0
8;8;27;79660;323;105;2126;Coffee;0;Morning;Takeaway;0;0;Positive;1;1
8;12;6;79659;371;285;1190;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
12;25;8;79658;179;439;2400;Coffee;0;Afternoon;Dine-in;0;0;Positive;1;0
11;23;12;79657;275;416;491;Coffee;1;Morning;Takeaway;0;0;Negative;1;1
5;0;7;79639;298;15;244;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
8;28;4;79636;185;234;1115;Pastries;0;Afternoon;Dine-in;0;0;Positive;1;0
9;23;4;79635;331;372;1108;Pastries;1;Morning;Takeaway;0;0;Neutral;1;1
13;2;9;79635;247;420;1947;Coffee;0;Evening;Dine-in;0;0;Negative;1;0
9;13;19;79627;93;411;2534;Coffee;0;Afternoon;Dine-in;0;1;Negative;1;0
7;16;4;79607;40;372;306;Pastries;1;Morning;Takeaway;1;0;Positive;1;0
9;0;17;79598;320;183;2384;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
6;2;11;79589;369;421;1617;Coffee;0;Morning;Dine-in;0;0;Negative;1;0
12;51;4;79583;435;432;1880;Coffee;0;Morning;Dine-in;0;0;Positive;1;1
10;3;0;79569;4;152;1656;Lunch;1;Morning;Dine-in;0;0;Neutral;1;0
6;17;10;79563;424;383;2861;Pastries;0;Morning;Takeaway;0;0;Negative;1;0
5;1;35;79553;80;142;1435;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;1
9;4;24;79542;89;279;1369;Coffee;0;Morning;Takeaway;0;0;Positive;0;1
10;3;2;79540;349;191;1557;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
10;12;8;79539;404;442;355;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
9;2;11;79537;447;160;2010;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
11;5;4;79536;108;223;1208;Pastries;1;Morning;Takeaway;0;0;Positive;1;0
7;16;11;79528;211;373;1000;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
9;21;6;79522;24;479;1788;Pastries;0;Afternoon;Takeaway;0;0;Positive;1;0
7;32;5;79521;5;453;850;Coffee;0;Afternoon;Dine-in;0;3;Positive;0;1
4;14;33;79516;481;376;2168;Coffee;0;Evening;Dine-in;0;1;Negative;0;1
10;2;12;79511;171;93;1132;Coffee;0;Morning;Takeaway;1;2;Positive;1;0
15;3;1;79509;233;478;770;Pastries;1;Morning;Dine-in;0;1;Positive;0;0
13;23;2;79507;445;341;169;Coffee;0;Morning;Delivery;0;0;Neutral;0;1
13;4;49;79470;276;157;1366;Coffee;0;Morning;Takeaway;0;0;Negative;1;1
9;11;28;79467;204;37;1214;Coffee;0;Morning;Dine-in;1;0;Negative;1;1
2;10;6;79461;353;221;1879;Pastries;0;Morning;Delivery;0;0;Positive;1;1
7;2;14;79457;245;213;519;Pastries;1;Morning;Dine-in;1;2;Positive;1;0
8;28;3;79439;14;159;332;Pastries;0;Evening;Dine-in;0;0;Positive;1;0
2;28;2;79437;105;97;1541;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
5;32;7;79431;219;228;240;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;1
2;1;5;79420;351;358;126;Pastries;1;Morning;Dine-in;0;0;Negative;1;1
9;15;13;79410;88;482;904;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
8;2;17;79408;413;493;2554;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;22;1;79401;429;485;1513;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
11;3;1;79390;234;186;1533;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
10;32;23;79384;0;112;2693;Pastries;1;Afternoon;Delivery;0;0;Positive;1;1
9;11;2;79382;84;306;2462;Pastries;1;Afternoon;Takeaway;0;0;Positive;1;0
8;33;0;79369;409;122;2321;Coffee;1;Morning;Dine-in;0;0;Positive;1;1
9;5;25;79365;48;279;1714;Pastries;0;Afternoon;Delivery;0;0;Neutral;1;0
8;29;3;79361;361;431;2787;Pastries;0;Afternoon;Dine-in;0;3;Positive;1;0
4;1;29;79354;135;278;1278;Pastries;0;Morning;Dine-in;0;0;Positive;0;1
14;5;27;79346;405;185;2672;Coffee;0;Afternoon;Takeaway;0;0;Neutral;1;0
12;15;7;79340;244;242;2672;Pastries;0;Afternoon;Dine-in;0;0;Neutral;1;0
10;20;2;79334;341;241;2541;Lunch;0;Evening;Dine-in;0;0;Positive;1;0
8;8;3;79323;265;11;1378;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
12;20;2;79320;351;107;1021;Coffee;0;Morning;Dine-in;0;0;Neutral;1;0
11;14;10;79308;176;217;2613;Coffee;0;Afternoon;Takeaway;0;0;Positive;1;0
5;14;1;79305;340;426;554;Coffee;0;Evening;Takeaway;0;0;Negative;0;0
13;19;9;79301;477;430;2473;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;9;0;79296;317;143;891;Coffee;0;Morning;Dine-in;0;1;Positive;1;0
10;28;5;79292;78;475;553;Lunch;0;Evening;Takeaway;0;0;Positive;1;0
12;20;9;79285;58;79;1139;Coffee;0;Afternoon;Takeaway;0;1;Positive;1;0
12;5;13;79281;146;222;2703;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
7;15;0;79279;253;389;1865;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;1;4;79263;144;146;1110;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;11;2;79261;308;232;1291;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
6;1;7;79256;105;262;640;Lunch;0;Morning;Dine-in;0;0;Positive;1;0
5;16;14;79256;320;14;1410;Pastries;0;Evening;Delivery;1;0;Positive;1;0
6;5;2;79244;126;290;199;Coffee;0;Afternoon;Delivery;0;0;Positive;1;0
6;13;14;79240;397;198;2740;Pastries;0;Morning;Dine-in;0;0;Positive;1;0
9;3;10;79234;477;139;1601;Coffee;0;Evening;Takeaway;0;0;Positive;1;0
5;4;2;79233;275;48;1787;Coffee;1;Afternoon;Delivery;0;0;Positive;1;0
10;65;29;79232;447;239;1837;Coffee;1;Evening;Dine-in;0;0;Negative;1;1
10;7;20;79230;453;128;1701;Coffee;1;Evening;Dine-in;0;0;Negative;1;0
12;10;14;79215;380;449;2393;Pastries;0;Evening;Takeaway;0;0;Neutral;1;0
12;5;21;79214;148;416;1189;Pastries;0;Morning;Delivery;0;0;Positive;0;1
8;1;1;79207;118;381;2382;Coffee;0;Afternoon;Dine-in;0;0;Neutral;1;0
7;1;3;79201;251;131;589;Pastries;0;Evening;Takeaway;0;0;Neutral;1;0
8;25;0;79191;389;486;2599;Coffee;0;Morning;Dine-in;0;0;Positive;1;0
9;2;12;79190;295;490;127;Coffee;1;Afternoon;Takeaway;0;0;Positive;1;0
6;56;7;79180;38;48;1288;Coffee;1;Evening;Dine-in;0;0;Negative;1;1
9;10;17;79179;400;74;2352;Pastries;0;Morning;Takeaway;0;0;Negative;1;0
13;12;3;79176;430;274;1892;Pastries;0;Evening;Dine-in;0;0;Negative;0;1
8;0;13;79171;282;421;1205;Coffee;0;Evening;Dine-in;0;0;Positive;1;0
9;2;3;79169;196;184;339;Lunch;1;Morning;Dine-in;0;0;Negative;1;1
9;4;29;79168;117;405;1744;Coffee;0;Afternoon;Dine-in;0;1;Positive;1;0
9;12;2;79158;427;6;1701;Lunch;0;Morning;Dine-in;0;2;Neutral;1;0
6;46;16;79158;219;161;1174;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
9;3;8;79157;286;410;63;Coffee;0;Evening;Dine-in;0;0;Neutral;1;0
4;20;7;79148;117;381;1524;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
11;8;2;79137;488;262;1517;Coffee;0;Afternoon;Dine-in;0;1;Negative;1;0
5;0;12;79137;179;417;539;Coffee;0;Morning;Dine-in;0;0;Positive;0;0
13;0;9;79135;66;400;1557;Coffee;0;Morning;Delivery;1;0;Negative;1;0
7;3;15;79127;285;20;641;Coffee;0;Morning;Takeaway;0;0;Positive;1;0
